price,bedrooms,bathrooms,deposit_amount,furnished,title_char_count,title_avg_word_length,title_tfidf_0,title_tfidf_2,title_tfidf_4,title_tfidf_8,description_char_count,description_word_count,description_avg_word_length,description_tfidf_0,description_tfidf_4,description_tfidf_6,description_tfidf_8,price bedrooms,price bathrooms,price deposit_amount,bedrooms bathrooms,bedrooms deposit_amount,bathrooms deposit_amount,bathrooms_bin,num_row_mean,property_type_count,lease_term_count,payment_method_text_count,contact_type_count,geo_cluster,geo_dist_to_centre,latitude_norm,longitude_norm
2403,1,1,500,1,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,25,4,5.5,0.0,0.0,0.447213595499958,0.0,2403.0,2403.0,1201500.0,1.0,500.0,500.0,0,726.25,5066,5131,3693,7613,18,2.348494343584502,-0.24166999664349229,0.6031851508954612
3181,4,3,500,1,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,39,4,9.0,0.0,0.0,0.0,0.3779644730092272,12724.0,9543.0,1590500.0,12.0,2000.0,1500.0,1,922.0,5066,4934,3846,7387,9,1.6131660748415297,-1.3248426501224844,-1.6169601123749113
1122,2,1,1500,1,28,6.25,0.0,0.4472135954999579,0.0,0.0,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,2244.0,1122.0,1683000.0,2.0,3000.0,1500.0,0,656.25,4964,5131,3704,7387,17,3.617038349363244,0.7782910743248674,-0.6009768857207812
1536,2,3,0,0,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,39,4,9.0,0.0,0.0,0.0,0.3779644730092272,3072.0,4608.0,0.0,6.0,0.0,0.0,1,385.25,4970,5131,3693,7613,18,4.0918945213382765,-0.5433946482822091,0.39468151563207715
3251,3,1,1000,1,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,37,5,6.6,0.0,0.4472135954999579,0.0,0.0,9753.0,3251.0,3251000.0,3.0,3000.0,1000.0,0,1063.75,4970,4935,3693,7613,3,1.6673371942557258,-0.1310497272501313,-1.1753789840884823
2916,0,1,1500,1,14,6.5,0.0,0.0,0.0,0.5773502691896257,25,4,5.5,0.0,0.0,0.447213595499958,0.0,0.0,2916.0,4374000.0,0.0,0.0,1500.0,0,1104.25,4964,4934,3846,7387,17,2.4109027424167473,1.5733115849919448,-0.31712603520596305
1365,0,2,0,1,15,7.0,0.5773502691896258,0.0,0.0,0.0,25,4,5.5,0.0,0.0,0.447213595499958,0.0,0.0,2730.0,0.0,0.0,0.0,0.0,0,341.75,4964,4934,3704,7387,19,2.7310677748858234,-0.8201527996077016,-1.152422167021626
2392,4,2,1500,0,14,6.5,0.0,0.0,0.0,0.5773502691896257,25,4,5.5,0.0,0.0,0.447213595499958,0.0,9568.0,4784.0,3588000.0,8.0,6000.0,3000.0,0,974.5,5066,5131,3704,7387,16,1.174571013662764,0.2281117069651077,-0.1469841099905957
2668,2,1,0,1,28,6.25,0.0,0.4472135954999579,0.0,0.0,37,5,6.6,0.0,0.4472135954999579,0.0,0.0,5336.0,2668.0,0.0,2.0,0.0,0.0,0,667.75,4970,4935,3693,7387,13,1.7480347481089433,-1.285197092492089,1.092959252589872
3230,0,2,1000,0,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,39,4,9.0,0.0,0.0,0.0,0.3779644730092272,0.0,6460.0,3230000.0,0.0,0.0,2000.0,0,1058.0,4970,4935,3757,7613,18,3.3582458787305542,-0.3668482946129536,0.6700773076317742
1981,1,3,1000,0,15,7.0,0.5773502691896258,0.0,0.0,0.0,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,1981.0,5943.0,1981000.0,3.0,1000.0,3000.0,1,746.25,4964,5131,3846,7387,13,3.9288725110487923,-1.597018999105194,0.8960759469844195
3111,1,1,0,0,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,39,4,9.0,0.0,0.0,0.0,0.3779644730092272,3111.0,3111.0,0.0,1.0,0.0,0.0,0,778.25,5066,4935,3846,7387,18,2.444718138679973,-0.23816016315071978,0.34010639225643696
1069,0,3,1000,0,28,6.25,0.0,0.4472135954999579,0.0,0.0,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,0.0,3207.0,1069000.0,0.0,0.0,3000.0,1,518.0,5066,4934,3693,7613,0,3.7123615437052737,0.7187449336885599,-1.1472958039748307
2338,2,2,0,1,28,6.25,0.0,0.4472135954999579,0.0,0.0,25,4,5.5,0.0,0.0,0.447213595499958,0.0,4676.0,4676.0,0.0,4.0,0.0,0.0,0,585.5,4964,4934,3757,7387,9,2.4539210518790453,-1.1463079671346372,-1.723710601927943
931,1,3,1500,1,14,6.5,0.0,0.0,0.0,0.5773502691896257,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,931.0,2793.0,1396500.0,3.0,1500.0,4500.0,1,608.75,4964,4934,3693,7613,19,2.9637203324327435,-1.5258540993203173,-1.0759395827733087
2235,4,2,0,0,15,7.0,0.5773502691896258,0.0,0.0,0.0,39,4,9.0,0.0,0.0,0.0,0.3779644730092272,8940.0,4470.0,0.0,8.0,0.0,0.0,0,560.25,5066,4934,3846,7613,1,2.9652794364235078,0.5606641079518709,1.1574000444463872
2412,0,3,0,0,14,6.5,0.0,0.0,0.0,0.5773502691896257,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,0.0,7236.0,0.0,0.0,0.0,0.0,1,603.75,4970,4934,3693,7613,19,3.3017996657109188,-0.6654953582629501,-1.1155742823028272
1124,1,2,0,0,15,7.0,0.5773502691896258,0.0,0.0,0.0,39,4,9.0,0.0,0.0,0.0,0.3779644730092272,1124.0,2248.0,0.0,2.0,0.0,0.0,0,281.75,4964,4935,3693,7613,16,3.9433793972562228,-0.4678900036369368,-0.20797578845492704
1611,2,2,1500,0,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,37,5,6.6,0.0,0.4472135954999579,0.0,0.0,3222.0,3222.0,2416500.0,4.0,3000.0,3000.0,0,778.75,4964,4935,3846,7387,16,1.0746568248923014,0.26689277358739827,-0.030763610849418102
1309,0,2,1500,1,14,6.5,0.0,0.0,0.0,0.5773502691896257,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,0.0,2618.0,1963500.0,0.0,0.0,3000.0,0,702.75,5066,5131,3693,7387,12,3.5301345661845547,0.5100568043391057,1.3123693112481747
2094,1,3,500,0,22,6.666666666666667,0.0,0.0,0.447213595499958,0.0,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,2094.0,6282.0,1047000.0,3.0,500.0,1500.0,1,649.5,4964,4934,3704,7613,17,1.7608769831753779,0.9774698025855381,-0.4544368735932184
2951,1,1,1500,1,14,6.5,0.0,0.0,0.0,0.5773502691896257,25,4,5.5,0.0,0.0,0.447213595499958,0.0,2951.0,2951.0,4426500.0,1.0,1500.0,1500.0,0,1113.25,4964,4934,3846,7613,14,3.1677079628330502,0.3630587533258576,-1.3949696696326948
1390,2,1,1500,1,14,6.5,0.0,0.0,0.0,0.5773502691896257,29,5,5.0,0.37796447300922725,0.0,0.0,0.0,2780.0,1390.0,2085000.0,2.0,3000.0,1500.0,0,723.25,4964,5131,3704,7613,5,1.7704790467962241,-1.1339457457191573,1.2913821873653166
1815,2,2,0,0,28,6.25,0.0,0.4472135954999579,0.0,0.0,37,5,6.6,0.0,0.4472135954999579,0.0,0.0,3630.0,3630.0,0.0,4.0,0.0,0.0,0,454.75,5066,4934,3846,7387,4,2.8310218812833394,0.7616582673294632,0.7296411735695909
